Time,Length
315.652384000,91
315.653883000,87
315.654632000,82
317.693395000,60
318.523386000,60
321.413261000,60
324.753220000,60
327.053202000,60
339.104237000,60
346.722850000,60
349.693300000,60
351.252719000,60
352.442745000,60
352.642748000,60
352.752680000,60
354.002670000,60
356.032685000,60
359.792646000,60
361.262626000,60
362.902504000,60
363.612446000,60
364.940263000,62
364.941387000,60
364.945518000,60
364.946760000,60
365.032582000,80
365.040202000,1434
365.040210000,1434
365.040328000,1434
365.040471000,1434
365.040480000,496
365.048947000,465
365.050196000,70
365.052195000,66
365.052949000,82
365.157756000,93
365.158631000,82
365.159505000,82
365.160504000,93
365.161385000,82
365.162135000,82
365.163011000,82
365.164502000,93
365.165376000,82
365.166125000,82
365.177494000,92
365.179747000,82
365.181124000,84
365.272436000,60
365.304167000,84
365.317409000,477
365.321407000,86
365.324030000,86
365.325904000,167
365.350020000,471
365.356385000,283
365.358633000,86
365.360757000,90
365.364012000,94
365.366629000,93
365.403106000,86
365.411976000,285
365.496551000,285
365.497799000,83
365.612236000,84
365.613251000,86
365.618607000,291
365.630594000,291
367.767544000,265
367.772915000,265
367.777413000,265
367.780041000,160
367.784662000,265
367.858491000,265
367.863109000,265
367.867607000,265
367.869231000,105
367.873603000,265
367.896595000,696
367.899212000,370
367.902336000,662
367.905215000,462
367.908091000,524
367.911330000,392
367.915579000,347
367.918580000,342
367.921949000,384
367.925447000,354
367.928694000,368
367.932067000,355
367.935691000,358
367.939694000,356
367.944185000,393
367.948062000,396
367.951931000,389
367.956053000,394
367.960680000,393
367.964923000,393
367.969295000,389
367.973815000,391
367.978414000,397
367.983421000,396
367.988284000,413
367.993280000,307
367.998153000,303
368.002923000,241
368.008021000,281
368.013143000,313
368.018140000,297
368.023387000,263
368.028509000,275
368.034023000,280
368.039383000,287
368.044880000,297
368.050750000,286
368.056367000,256
368.062115000,266
368.068493000,743
368.075357000,365
368.081602000,261
368.087848000,269
368.094220000,255
368.100466000,279
368.106961000,238
368.113457000,232
368.120453000,324
368.127574000,508
368.134695000,298
368.141940000,454
368.149310000,275
368.156806000,304
368.164176000,248
368.171921000,339
368.180173000,266
368.188668000,250
368.198793000,258
368.206779000,255
368.214778000,408
368.222890000,244
368.231017000,234
368.239256000,265
368.248000000,607
368.257120000,330
368.265748000,336
368.274610000,234
368.282980000,234
368.291349000,234
368.299844000,301
368.308589000,308
368.317458000,387
368.326453000,368
368.335698000,386
368.344817000,282
368.353936000,305
368.363181000,262
368.372556000,251
368.381794000,255
368.391039000,276
368.400532000,307
368.410277000,335
